Date,Open,High,Low,Close,Adj Close,Volume
2022-10-14,3659.949951,3663.000000,3552.149902,3570.500000,3436.582031,499983
2022-10-17,3580.000000,3674.800049,3578.000000,3629.000000,3492.887939,921084
2022-10-18,3647.149902,3664.850098,3602.100098,3611.300049,3475.851807,496519
2022-10-19,3629.399902,3716.949951,3623.750000,3655.850098,3518.730957,456361
2022-10-20,3629.350098,3703.899902,3586.000000,3691.850098,3553.380615,310251
2022-10-21,3699.000000,3720.350098,3641.750000,3668.600098,3531.002686,207556
2022-10-24,3715.000000,3720.000000,3680.000000,3699.800049,3561.032471,29986
2022-10-25,3699.000000,3727.000000,3644.000000,3654.100098,3517.046631,351456
2022-10-27,3690.600098,3690.600098,3606.149902,3622.300049,3486.439453,333703
2022-10-28,3640.449951,3719.000000,3631.000000,3670.699951,3533.023926,500485
2022-10-31,3689.100098,3706.350098,3659.100098,3671.850098,3534.130859,314769
2022-11-01,3686.550049,3744.199951,3663.000000,3732.699951,3592.698486,514106
2022-11-02,3746.000000,3746.000000,3693.600098,3736.800049,3596.644775,317571
2022-11-03,3754.000000,3814.000000,3731.050049,3773.500000,3631.968262,637882
2022-11-04,3779.449951,3809.899902,3762.899902,3771.100098,3629.658447,230932
2022-11-07,3790.000000,3818.649902,3758.500000,3769.850098,3628.455322,272013
2022-11-09,3790.000000,3794.000000,3717.850098,3739.550049,3599.291748,249436
2022-11-10,3739.550049,3770.000000,3717.000000,3724.600098,3584.902344,291055
2022-11-11,3743.250000,3783.949951,3708.500000,3727.649902,3587.837891,268871
2022-11-14,3746.300049,3768.000000,3710.449951,3726.000000,3586.249756,200313
2022-11-15,3726.050049,3789.000000,3726.050049,3764.149902,3622.968994,296104
2022-11-16,3757.000000,3798.500000,3739.649902,3747.449951,3606.895264,329588
2022-11-17,3749.000000,3767.350098,3678.399902,3694.149902,3555.594482,185433
2022-11-18,3694.149902,3706.850098,3621.000000,3632.949951,3496.689697,327528
